_id,user_id,name,review_count,useful,average_stars,review_id,stars,useful_review,text,date,time
65ddcc67fa4711915dcb66b3,xT0oxEfJkAa2l5G3_BBY2g,Mary,138,233,4.21,T2zzZ4yB-0KPMhxPVAABsQ,5,0,Try the mayan chocolate with the coconut. Great mix!,2014-07-16,14:17:15
65ddcc67fa4711915dcb6760,UwlNPjxixHcNVEltCOXYkw,B,60,27,3.16,DiNwy-dOmb4jymls-giOxA,5,0,Alex hooks it up...hands down best BBQ in town.,2013-07-02,00:22:01
65ddcc67fa4711915dcb6830,OSFIeCqeQQqcrVAzdPWxTQ,Jeff,47,94,4.13,eBgaDpFfd0dkdUBUP4oNTw,5,0,Hands-down our favorite donut joint in South St. Louis.,2009-07-01,03:25:01
65ddcc67fa4711915dcb68f2,xyFtRXaTjhStZB3Zb9uFvA,Leo,416,559,3.39,fj3jPxdLWVe4PEbFg-aTXg,5,3,By far the best rental place in the city.,2008-04-13,17:52:59
65ddcc67fa4711915dcb69c0,-Tzw8xAp1I-FuoZgGT-OxQ,S,45,72,3.76,MQ2ye37rXcutCy9mgJr2tw,5,1,Ted Drewes concrete + oreos = euphoria,2008-07-17,23:46:12
65ddcc67fa4711915dcb6dd5,Mf2NAhMTiYk0DC0fZjhNMw,Sally,341,422,3.86,drlukMjI0JoT2H8ytj_7mQ,5,0,"fabulous food. wow. just go and try something, anything.",2009-02-02,00:34:22
65ddcc67fa4711915dcb7005,RoW1Eml8fNYC2a_i9Y__rA,Brian,33,31,4.15,3ZE3BRN71HcMiv5X6i8uGg,5,0,The vegan ranch fake chicken burger is AMAZING.,2013-08-05,19:18:02
65ddcc67fa4711915dcb71c9,a7u0pCIIKDFN65a0bvthKw,Sean,43,29,4.36,pjZ0HplKuGH-jeT_sdBRaA,5,0,Soft tofu jigae. Awesomeness and with great rice.very authentic,2013-05-11,01:05:19
65ddcc67fa4711915dcb76f2,JWC-IKLUbyI39_0w3D0gKA,Simon,36,32,3.89,iNpNKjZGxHJ4LfdrA_EEFw,5,0,Love this Jerry bobs best one in town,2010-06-18,17:39:11
65ddcc67fa4711915dcb7a5e,tnNhtuoywPN_8eHKZeE73Q,Shelly,45,79,3.84,pKABf-rRxdr_pnT1cALtRw,5,0,Love their sushi. Ask for Teresa she's the best!,2013-02-25,23:53:29
